asn,ix_id,fac_id,name,state,city
46811,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11377,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11114,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62642,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3300,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26133,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32709,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19151,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
47095,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17143,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4150,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32035,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
42,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17306,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
53766,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4927,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14363,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7342,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19653,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11796,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11164,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13414,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14586,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
393713,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
30517,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
4581,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
27216,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
29791,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6325,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
803,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21949,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26554,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
394111,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23404,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19310,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
64255,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
394749,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14609,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19930,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
62856,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23367,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
600,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20021,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6368,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32160,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11666,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40627,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
18683,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26068,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
9505,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396905,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
399541,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12033,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
18596,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12189,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7829,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20340,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
36692,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
46632,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
1640,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
21808,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22438,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26744,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
46873,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
33353,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3856,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
10423,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396986,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12200,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11062,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
398143,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
25885,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
44444,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
54825,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14907,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19008,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396253,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7057,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32590,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
63399,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
14630,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
22697,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
8360,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
393891,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2603,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32261,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
293,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
36001,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
2381,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
17350,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20253,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32067,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6122,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19834,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
7772,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
55247,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
53991,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
23467,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6614,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11870,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26989,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
54827,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11142,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
54035,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
3465,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
33071,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
396960,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12265,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
400328,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
36184,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40752,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26838,230,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13335,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
20940,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
6939,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
26312,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
12243,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
18615,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
13807,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11550,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
394356,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
40604,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19112,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11114,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
32709,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
19151,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
11525,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
42,503,224,Digital Realty CHI (350 E Cermak),IL,Chicago
